mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06703100204467774,0.01076325147757392,0.006244945526123047,0.002141909561720143,3,1,50,"{'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.9914657092378121,-0.9233539416671535,-0.686848239142569,-0.9041616626372965,-0.9161468571029724,-0.8843952819575606,0.10334946542549948,12
0.11066246032714844,0.02691473242088977,0.011951971054077148,0.0026090124888091125,3,1,100,"{'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100}",-1.0005441348724178,-0.9265210552373058,-0.6900855297376293,-0.9110912993358573,-0.9035735910386435,-0.8863631220443707,0.10400244182293059,14
0.14106483459472657,0.011318318688802455,0.008668041229248047,0.002309380071179941,3,1,200,"{'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.9831712804069609,-0.9307658581060639,-0.6877504329889298,-0.9192998448608706,-0.9007622932718228,-0.8843499419269296,0.10204148383883499,11
0.04472503662109375,0.012326109756904832,0.0037865638732910156,0.0015436976762537575,3,2,50,"{'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 50}",-0.945063580543044,-0.9759588488236502,-0.6828157115218938,-0.9085338038220252,-0.9205128902316148,-0.8865769669884456,0.10446262830782643,15
0.06813912391662598,0.012994845943655797,0.006245613098144531,0.0040571173717700035,3,2,100,"{'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100}",-0.950814154830025,-0.9778088463708506,-0.6876568114916499,-0.9109921569496555,-0.9254473968291964,-0.8905438732942754,0.10396848606088285,19
0.15287423133850098,0.024039910812076987,0.012683868408203125,0.00629889581951417,3,2,200,"{'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 200}",-0.939392940149332,-0.9682832490471621,-0.688811085163653,-0.9196059960631164,-0.9173760634374443,-0.8866938667721416,0.1006143333115326,16
0.03424711227416992,0.00904886591547762,0.005936813354492187,0.005027686602353773,3,4,50,"{'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 50}",-0.8258916315447996,-0.9569118693813475,-0.7193106119834695,-0.9024245570097433,-0.8915219609137883,-0.8592121261666297,0.08141150834810244,8
0.08892197608947754,0.01427405343837302,0.0067485332489013675,0.002891804327198035,3,4,100,"{'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 100}",-0.8364600445431134,-0.9450775889494799,-0.7063309271069175,-0.9015782486521624,-0.8926879038943264,-0.8564269426291998,0.08263162316607245,3
0.1519857406616211,0.020872902647070916,0.016312408447265624,0.01292849205694957,3,4,200,"{'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 200}",-0.8452678780434906,-0.9430086902815322,-0.7049570268572807,-0.9216768965886306,-0.8902220307023393,-0.8610265044946546,0.08468523337125645,9
0.03609733581542969,0.0012640605045393088,0.002534008026123047,0.0006191676903053139,5,1,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.9865755888215474,-0.9561389825980302,-0.7002848302309368,-0.8943514541280906,-0.9505401708512078,-0.8975782053259624,0.10304363781985346,25
0.08151473999023437,0.023697476303912876,0.004728269577026367,0.0020847402105233,5,1,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.996554044315914,-0.9555610628007918,-0.6949781903535304,-0.8857971520030852,-0.9026349639051583,-0.8871050826756959,0.10375059235110709,17
0.152864408493042,0.007238450550166458,0.010799551010131836,0.0009968124213696253,5,1,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.9776960568212311,-0.9547080991742422,-0.6845892724366648,-0.9022397501250051,-0.9100192583651788,-0.8858504873844645,0.10443734331427315,13
0.034078788757324216,0.006006173334184453,0.003297901153564453,0.0022477766571786994,5,2,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 50}",-0.9427803054453568,-1.0075607135645248,-0.7048756512102957,-0.9061242901691366,-0.936217654268412,-0.8995117229315452,0.10278230048546107,26
0.06477847099304199,0.0044182519198289385,0.005962896347045899,0.0029265497205130486,5,2,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 100}",-0.9496725172811813,-1.0018487909270184,-0.6994527381456093,-0.9009804302006299,-0.9207830326752069,-0.8945475018459291,0.10328987020380519,22
0.13306427001953125,0.005880991022221647,0.016408777236938475,0.003543355395888626,5,2,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 200}",-0.9386668130471769,-0.9960930841597239,-0.7018824444553499,-0.9106716602465428,-0.925105407319462,-0.8944838818456511,0.10056997273656854,21
0.03621854782104492,0.011454432686758822,0.0023535728454589845,0.0002656955558041356,5,4,50,"{'max_depth': 5, 'min_samples_leaf': 4, 'n_estimators': 50}",-0.8258916315447996,-0.957759695365493,-0.7250886116350731,-0.9057221690733769,-0.8762495226547282,-0.8581423260546941,0.07906798405932389,7
0.06381902694702149,0.009688251352133524,0.0066281318664550785,0.003815868113362388,5,4,100,"{'max_depth': 5, 'min_samples_leaf': 4, 'n_estimators': 100}",-0.8364600445431134,-0.9462898407960278,-0.708159218162716,-0.9071945956240408,-0.8684261705499536,-0.8533059739351703,0.08140020815445653,2
0.12737054824829103,0.01715934786254838,0.008138608932495118,0.002529573832904872,5,4,200,"{'max_depth': 5, 'min_samples_leaf': 4, 'n_estimators': 200}",-0.8452678780434906,-0.9439965318170065,-0.7068449337350918,-0.9234110485868946,-0.8672266294932167,-0.8573494043351401,0.0833870302469924,5
0.033348798751831055,0.0066761301800321495,0.0038352012634277344,0.0020523434730151465,10,1,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.9863151420428053,-0.969518336735147,-0.7068517794445132,-0.8954933570515817,-0.9218392144247338,-0.8960035659397562,0.10000674145617043,23
0.06728191375732422,0.009693022953409323,0.008331012725830079,0.00309211951595173,10,1,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.9976619180837392,-0.9566302616544335,-0.7034786076210809,-0.9043828719342396,-0.8847845249731696,-0.8893876368533326,0.10104761593456223,18
0.13496747016906738,0.011870478222043313,0.011153411865234376,0.005011039584519504,10,1,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.9782211677553041,-0.9450467011638425,-0.6901147561501964,-0.8989348136681049,-0.8900115044625745,-0.8804657886400044,0.10039178208835366,10
0.03518013954162598,0.0030598296221044864,0.004106903076171875,0.0023578400316309703,10,2,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 50}",-0.9427803054453568,-1.0058833578862076,-0.7163832075606419,-0.9038913733255031,-0.9376387550184627,-0.9013153998472345,0.0981628583109547,27
0.06949934959411622,0.011431061423947037,0.005749893188476562,0.0026607926999573,10,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 100}",-0.9496725172811813,-1.00038764533222,-0.712098993203788,-0.9070499916478275,-0.9177275816187005,-0.8973873458167436,0.09816482708822202,24
0.15282258987426758,0.017567995641427456,0.00847005844116211,0.001310255109451077,10,2,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 200}",-0.9386668130471769,-0.9941600442154446,-0.707867551469997,-0.9094113048600485,-0.9119969578221757,-0.8924205342829685,0.0971816570031522,20
0.036895227432250974,0.012033831620114779,0.0021388053894042967,1.3127665579433508e-05,10,4,50,"{'max_depth': 10, 'min_samples_leaf': 4, 'n_estimators': 50}",-0.8258916315447996,-0.957759695365493,-0.7257691194559671,-0.9082678310129333,-0.8693588080610135,-0.8574094170880413,0.07889497237232984,6
0.061466407775878903,0.0074725244588490945,0.0048729896545410155,0.001655818205243238,10,4,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'n_estimators': 100}",-0.8364600445431134,-0.9462898407960278,-0.7081322743744989,-0.9118249341623857,-0.8616503322743659,-0.8528714852300784,0.0818515008996231,1
0.1264787197113037,0.0247167110128043,0.006709623336791992,0.0011989678825726606,10,4,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'n_estimators': 200}",-0.8452678780434906,-0.9439965318170065,-0.7072186017552278,-0.927822303838135,-0.861863851200015,-0.857233833330775,0.0838804969861922,4
